ElevationDeg,GaseousLossDb,CloudLossDb,RainLossDb,ScintillationLossDb,TotalAtmosphericLossDb
5,0.396156926329677,0.0181379899042512,0.000292753450621108,0.318613178800315,0.715302739408675
6,0.330315304363389,0.0151234403782126,0.000233191098765266,0.254799904890978,0.585577557081591
7,0.283314492342083,0.0129715147212959,0.000192811562320279,0.210852839072957,0.494577880631743
8,0.248089256621505,0.0113587321914178,0.000163725018992451,0.178917130076504,0.427377032152851
9,0.220714477145511,0.0101053817114278,0.00014184116418262,0.15476245504373,0.375815808757542
10,0.198835090714964,0.00910363703952417,0.000124826305203845,0.135918202370384,0.335066226184436
11,0.180952428845168,0.00828488184707912,0.000111251229947667,0.120849301128374,0.302093043974296
12,0.166067386701965,0.00760337225788897,0.000100192003505439,0.108554124305801,0.274894510187468
13,0.153488283305012,0.00702743975424116,9.10253316814986e-05,0.0983526526254039,0.252098205846473
14,0.142721067364767,0.00653446426639488,8.33159602860971e-05,0.0897677878802269,0.232732459732834
15,0.133403440790903,0.00610785802655426,7.67511076854217e-05,0.0824554099755368,0.216090465313359
16,0.125263685891021,0.00573518047787428,7.1100484678507e-05,0.0761613799508867,0.201646070605296
17,0.118094024152014,0.00540691850996211,6.61909666583924e-05,0.0706941418035252,0.188999712306632
18,0.111732855433182,0.00511567328279827,6.1890021507711e-05,0.0659067163386763,0.177842630960836
19,0.106052605840587,0.00485560384335001,5.80945614184138e-05,0.0616845451473578,0.167932550427258
20,0.100951221244345,0.0046220376574408,5.4723260067639e-05,0.0579370880350227,0.159076760060407
21,0.096346091224678,0.00441119241846351,5.1711144113062e-05,0.0545918922835831,0.151120101588273
22,0.0921696301286343,0.00421997372667545,4.90057130580106e-05,0.0515903278457335,0.143936280712646
23,0.0883660108995901,0.00404582554803523,4.65641080297735e-05,0.0488844687841662,0.137421478906808
24,0.084888715454284,0.00388661805855524,4.43510141226888e-05,0.0464347781902795,0.131489586083821
25,0.0816986729742332,0.00374056240623239,4.23370845687652e-05,0.044208365867515,0.126068594556692
26,0.0787628278270448,0.00360614514352414,4.0497741892515e-05,0.0421776606011816,0.121097837666683
27,0.0760530257322577,0.00348207723060606,3.88122552750379e-05,0.0403193867360854,0.116525851301345
28,0.0735451386107469,0.00336725396672322,3.7263022920707e-05,0.0386137669916082,0.112308700588653
29,0.0712183705045881,0.00326072321182757,3.58350083940812e-05,0.0370438954632092,0.108408658042983
30,0.0690547023177846,0.00316165996410908,3.45152938725967e-05,0.0355952400439734,0.104793150102598
31,0.0670384440313896,0.00306934585822731,3.32927230834538e-05,0.0342552442596835,0.101433910672458
32,0.0651558708831873,0.00298315250784854,3.21576136870309e-05,0.0330130061845281,0.0983062958045774
33,0.0633949257014596,0.00290252787703864,3.11015239097242e-05,0.0318590176435698,0.095388724892481
34,0.0617449737730774,0.00282698505693257,3.01170619031667e-05,0.0307849509514083,0.0926622219947104
35,0.0601965997392552,0.00275609296663475,2.91977290131887e-05,0.0297834834190089,0.0901100370012891
36,0.0587414383471329,0.00268946860420367,2.83377901552295e-05,0.0288481520823869,0.0877173309160555
37,0.0573720326522473,0.00262677055447176,2.75321660045946e-05,0.027973232777046,0.0854709129667853
38,0.0560817146153717,0.00256769352218823,2.67763428548514e-05,0.0271536389485565,0.083359019871375
39,0.0548645040744564,0.00251196370646339,2.60662968718801e-05,0.026384836557815,0.0813711295948889
40,0.0537150228762652,0.00245933486929757,2.53984301437928e-05,0.0256627721853095,0.0794978034827949
41,0.0526284215797171,0.00240958497970373,2.47695164483335e-05,0.0249838120173618,0.0777305518624602
42,0.0516003166359051,0.0023625133375034,2.41766550662924e-05,0.02434468984936,0.0760617191505232
43,0.0506267363395539,0.00231793809872163,2.36172312891224e-05,0.0237424625964204,0.0744843852494093
44,0.0497040741567373,0.00227569413870303,2.30888825215958e-05,0.0231744720831046,0.0729922806078418
45,0.0488290482817239,0.00223563120042755,2.25894690812197e-05,0.0226383121075628,0.0715797127922743
46,0.0479986664753396,0.00219761228463977,2.21170489567285e-05,0.0221317999545092,0.0702415027949469
47,0.0472101953985478,0.00216151224579117,2.16698559170575e-05,0.0216529516754522,0.068972929609779
48,0.0464611337860181,0.00212721656379565,2.12462804664934e-05,0.0211999605710274,0.0677696818549573
49,0.0457491889114494,0.00209462026649763,2.08448532263459e-05,0.0207711784048667,0.0666278154227784
50,0.0450722558841533,0.00206362698176901,2.04642303925338e-05,0.0203650989556241,0.0655437163023299
51,0.0444283993886572,0.0020341481014594,2.01031809750307e-05,0.019980343577048,0.0645140678562056
52,0.0438158375388416,0.00200610204216007,1.97605755716432e-05,0.0196156484880697,0.0635358219443485
53,0.0432329275677307,0.00197941359001296,1.94353764670265e-05,0.0192698535579244,0.062606173380827
54,0.042678153115397,0.00195401331868918,1.9126628879706e-05,0.0189418923870294,0.0617225372864459
55,0.0421501129120191,0.00192983707124441,1.88334532064016e-05,0.0186307835140876,0.0608825289644578
56,0.041647510682153,0.00190682549788729,1.85550381351075e-05,0.0183356226047397,0.0600839459805488
57,0.0411691461207199,0.00188492364281634,1.82906345169512e-05,0.0180555754979339,0.0593247521735906
58,0.040713906811865,0.001864080574226,1.80395499024797e-05,0.0177898720037211,0.0586030633618657
59,0.0402807609793452,0.00184424905238414,1.78011436611974e-05,0.0175378003609925,0.0579171345418047
60,0.0398687509719824,0.00182538523136444,1.75748226143388e-05,0.0172987022762093,0.0572653484037071
61,0.0394769874004101,0.00180744839059817,1.73600371203261e-05,0.0170719684748263,0.0566462050122681
62,0.0391046438521849,0.00179040069290626,1.71562775604279e-05,0.0168570347061776,0.0560583125196668
63,0.03875095212164,0.00177420696609887,1.69630711790172e-05,0.016653378150338,0.0555003787960249
64,0.0384151978988518,0.00175883450559524,1.67799792387214e-05,0.0164605141821111,0.0549712038766906
65,0.0380967168689857,0.00174425289583285,1.66065944558166e-05,0.0162779934529893,0.0544696731383985
66,0.0377948911792413,0.00173043384850696,1.6442538685573e-05,0.0161053992568384,0.0539947511272255
67,0.0375091462357794,0.00171735105591838,1.62874608310151e-05,0.0159423451492916,0.0535454759706626
68,0.0372389477974945,0.0017049800579122,1.61410349518104e-05,0.0157884727945041,0.0531209543142762
69,0.0369837993373951,0.00169329812106904,1.60029585528189e-05,0.0156434500160942,0.0527203567305111
70,0.0367432396457636,0.00168228412896594,1.58729510342846e-05,0.0155069690318645,0.0523429135533669
71,0.036516840652239,0.00167191848246084,1.57507522877853e-05,0.0153787448543019,0.0519879110980625
72,0.0363042054465846,0.00166218300907361,1.56361214239199e-05,0.0152585138409629,0.0516546882295305
73,0.0361049664801906,0.00165306088064216,1.55288356193476e-05,0.0151460323806932,0.0513426332477185
74,0.0359187839323911,0.00164453653852444,1.54286890722218e-05,0.0150410757032503,0.051051181061324
75,0.0357453442274557,0.00163659562569916,1.53354920563267e-05,0.0149434368013218,0.0507798106248011
76,0.0355843586897044,0.00162922492519036,1.52490700653331e-05,0.0148529254551938,0.0505280426163209
77,0.0354355623255961,0.00162241230430553,1.51692630395784e-05,0.0147693673514331,0.0502954373368903
78,0.0352987127228957,0.00161614666423411,1.50959246686438e-05,0.0146926032879397,0.0500815928130752
79,0.0351735890581448,0.00161041789460471,1.50289217637842e-05,0.0146224884586047,0.0498861430877778
80,0.0350599912046633,0.00160521683264505,1.49681336949573e-05,0.0145588918115971,0.0497087566853086
81,0.0349577389342144,0.0016005352266303,1.49134518878231e-05,0.0145016954760076,0.0495491352386051
82,0.0348666712062821,0.00159636570334279,1.48647793766425e-05,0.0144507942522159,0.0494070122679051
83,0.0347866455396519,0.00159270173929988,1.48220304095157e-05,0.014406095161921,0.0492821521014974
84,0.0347175374616632,0.00158953763553809,1.47851301028543e-05,0.0143675170543007,0.0491743489303783
85,0.0346592400311214,0.00158686849576964,1.47540141424108e-05,0.0143349902652419,0.0490834259897409
86,0.0346116634314351,0.00158469020775438,1.4728628528569e-05,0.0143084563270279,0.0490092348612396
87,0.034574734631074,0.00158299942775381,1.4708929363963e-05,0.0142878677262749,0.0489516548909186
88,0.0345483971089446,0.00158179356795751,1.46948826818255e-05,0.0142731877082944,0.048910592718573
89,0.0345326106427556,0.00158107078679346,1.46864643137826e-05,0.0142643901264168,0.0488859819151459
90,0.0345273511588923,0.00158082998205454,1.46836597961138e-05,0.0142614593351549,0.0488777827255599
