ElevationDeg,GaseousLossDb,CloudLossDb,RainLossDb,ScintillationLossDb,TotalAtmosphericLossDb
5,0.395781415044212,0.0360982285054517,0.00034626712169874,0.398234518498331,0.795680068436687
6,0.330002203376617,0.0300986718728593,0.000275652851281699,0.315629024655059,0.64708938509034
7,0.283045942729191,0.0258159093120579,0.000227807288790289,0.258983313973393,0.543335458636049
8,0.247854096488052,0.022606149432354,0.000193353619559947,0.217990268555621,0.467033416964155
9,0.220505265160247,0.0201117312381144,0.000167436971500865,0.187109906926569,0.408710902518279
10,0.198646617876178,0.0181180589369726,0.000147289566522232,0.163113106300941,0.362779211845494
11,0.180780906716821,0.0164885723079179,0.000131217117574231,0.143997396739471,0.325734235993151
12,0.165909973884696,0.0151322318860128,0.00011812463342779,0.128458669303874,0.295270721769408
13,0.153342794033622,0.0139860109855632,0.00010727356080738,0.115613209503494,0.26981182374111
14,0.142585784177961,0.0130048911425265,9.81482292580671e-05,0.104842155744663,0.248243567904323
15,0.133276989644382,0.0121558593805224,9.0378109899207e-05,0.0956999521425858,0.229757304593935
16,0.125144950297662,0.0114141565026336,8.36904231405769e-05,0.0878581402053747,0.213752248441076
17,0.117982084574872,0.0107608495160327,7.78801197937304e-05,0.0810695861641742,0.19977301231719
18,0.111626945513693,0.010181213248906,7.2790241800453e-05,0.0751449996204018,0.187468329701599
19,0.105952080145593,0.00966362303620624,6.8298711922561e-05,0.0699371002339088,0.176563044521103
20,0.100855531076285,0.00919877960015816,6.43092304842468e-05,0.065329686321143,0.166838655657524
21,0.0962547661911856,0.00877915539394416,6.07448673609144e-05,0.0612299282885683,0.158119521543915
22,0.0920822639007834,0.00839859194302609,5.75434650805662e-05,0.0575628332839197,0.150262896431829
23,0.0882822500660947,0.00805200222831414,5.46542848064282e-05,0.0542672022468817,0.143151614191494
24,0.0848082506976608,0.00773514747399094,5.20355214871593e-05,0.0512926320357631,0.13668863543179
25,0.0816212320116491,0.00744446750670156,4.96524372629248e-05,0.0485972618033636,0.130792928021846
26,0.0786881697086113,0.00717695026306353,4.74759414949058e-05,0.0461460575558795,0.125396316342102
27,0.0759809361951119,0.00693003029594734,4.54814980106801e-05,0.0439094913545189,0.120441044109963
28,0.0734754262626749,0.00670150902984977,4.36482751972521e-05,0.0418625136300219,0.115877869523572
29,0.0711508636655567,0.00648949151559478,4.19584784795236e-05,0.0399837457786726,0.111664562157778
30,0.0689892463877949,0.00629233583453466,4.03968212847831e-05,0.0382548401139656,0.107764706346835
31,0.0669748992827794,0.00610861229592933,3.8950102232622e-05,0.0366599682501992,0.104146740716113
32,0.0650941105977932,0.00593707028526288,3.76068645762515e-05,0.0351854089726198,0.100783181356435
33,0.063334834589933,0.00577661114058878,3.635711989312e-05,0.0338192138459176,0.0976499890432248
34,0.0616864466265566,0.00562626581585708,3.51921223754954e-05,0.0325509340626562,0.094726050352052
35,0.0601395402735577,0.00548517637384563,3.41041832778998e-05,0.0313713959028276,0.0919927495115637
36,0.0586857582073758,0.00535258056406942,3.30865174633759e-05,0.0302725150560898,0.0894336130550606
