OuterAngleDeg,InnerAngleDeg,WorstExceedancePercent,RobustExceedancePercent,MedianExceedancePercent,MaximumIOverNDb,P95IOverNDb,PracticalPercentileIOverNDb,RobustAvailabilityPercent,RetaskDutyPercent,ShutdownDutyPercent,Feasible,PracticalFeasible,Score,SearchStage
0,0,0.249930574840322,0.249930574840322,0.124965287420161,10.8123814570994,-27.5595671836295,1.46381008894316,99.7500694251597,0,0,0,0,0,coarse
0.5,0,0.249930574840322,0.249930574840322,0.124965287420161,10.8123814570994,-27.5595671836295,1.46381008894316,99.7500694251597,0.0558565603530135,0,0,0,0.5,coarse
0.5,0.5,0.0833101916134407,0.0833101916134407,0.0416550958067204,3.67239319059749,-27.6624142902607,-6.63379803510386,99.9166898083866,0,0.0558565603530135,0,1,1,coarse
1,0,0.249930574840322,0.249930574840322,0.124965287420161,10.8123814570994,-27.5595671836295,1.46381008894316,99.7500694251597,0.217840585376752,0,0,0,1,coarse
1,0.5,0.0833101916134407,0.0833101916134407,0.0416550958067204,3.67239319059749,-27.6624142902607,-6.63379803510386,99.9166898083866,0.161984025023739,0.0558565603530135,0,1,1.5,coarse
1,1,0.0277700638711469,0.0277700638711469,0,-5.33046556378625,-27.8956534465121,-7.71534493357102,99.9722299361289,0,0.217840585376752,0,1,2,coarse
2,0,0.249930574840322,0.249930574840322,0.124965287420161,10.8123814570994,-27.5595671836295,1.46381008894316,99.7500694251597,0.368653298329889,0,0,0,2,coarse
2,0.5,0.0833101916134407,0.0833101916134407,0.0416550958067204,3.67239319059749,-27.6624142902607,-6.63379803510386,99.9166898083866,0.312796737976875,0.0558565603530135,0,1,2.5,coarse
2,1,0.0277700638711469,0.0277700638711469,0,-5.33046556378625,-27.8956534465121,-7.71534493357102,99.9722299361289,0.214064005137536,0.217840585376752,0,1,3,coarse
2,2,0,0,0,-7.55969989763696,-28.9176798835704,-10.5211198909017,100,0,0.368653298329889,1,1,4,coarse
3,0,0.249930574840322,0.249930574840322,0.124965287420161,10.8123814570994,-27.5595671836295,1.46381008894316,99.7500694251597,0.625593475953751,0,0,0,3,coarse
3,0.5,0.0833101916134407,0.0833101916134407,0.0416550958067204,3.67239319059749,-27.6624142902607,-6.63379803510386,99.9166898083866,0.569736915600737,0.0558565603530135,0,1,3.5,coarse
3,1,0.0277700638711469,0.0277700638711469,0,-5.33046556378625,-27.8956534465121,-7.71534493357102,99.9722299361289,0.407752890576998,0.217840585376752,0,1,4,coarse
3,2,0,0,0,-7.55969989763696,-28.9176798835704,-10.5211198909017,100,0.256940177623862,0.368653298329889,1,1,5,coarse
3,3,0,0,0,-7.55969989763696,-29.1573580437992,-10.5211198909017,100,0,0.625593475953751,1,1,6,coarse
5,0,0.249930574840322,0.249930574840322,0.124965287420161,10.8123814570994,-27.5595671836295,1.46381008894316,99.7500694251597,1.14505948723678,0,0,0,5,coarse
5,0.5,0.0833101916134407,0.0833101916134407,0.0416550958067204,3.67239319059749,-27.6624142902607,-6.63379803510386,99.9166898083866,1.08920292688376,0.0558565603530135,0,1,5.5,coarse
5,1,0.0277700638711469,0.0277700638711469,0,-5.33046556378625,-27.8956534465121,-7.71534493357102,99.9722299361289,0.927218901860023,0.217840585376752,0,1,6,coarse
5,2,0,0,0,-7.55969989763696,-28.9176798835704,-10.5211198909017,100,0.776406188906887,0.368653298329889,1,1,7,coarse
5,3,0,0,0,-7.55969989763696,-29.1573580437992,-10.5211198909017,100,0.519466011283025,0.625593475953751,1,1,8,coarse
5,5,0,0,0,-7.55969989763696,-30.080947273392,-10.5211198909017,100,0,1.14505948723678,1,1,10,coarse
10,0,0.249930574840322,0.249930574840322,0.124965287420161,10.8123814570994,-27.5595671836295,1.46381008894316,99.7500694251597,3.788285867813,0,0,0,10,coarse
10,0.5,0.0833101916134407,0.0833101916134407,0.0416550958067204,3.67239319059749,-27.6624142902607,-6.63379803510386,99.9166898083866,3.75067168189146,0.0558565603530135,0,1,10.5,coarse
10,1,0.0277700638711469,0.0277700638711469,0,-5.33046556378625,-27.8956534465121,-7.71534493357102,99.9722299361289,3.70768404083826,0.217840585376752,0,1,11,coarse
10,2,0,0,0,-7.55969989763696,-28.9176798835704,-10.5211198909017,100,3.55722729715207,0.368653298329889,1,1,12,coarse
10,3,0,0,0,-7.55969989763696,-29.1573580437992,-10.5211198909017,100,3.37990327780763,0.625593475953751,1,1,13,coarse
10,5,0,0,0,-7.55969989763696,-30.080947273392,-10.5211198909017,100,2.95540032240731,1.14505948723678,1,1,15,coarse
10,10,0,0,0,-7.55969989763696,-33.0814347566923,-10.5211198909017,100,0,3.788285867813,1,1,20,coarse
15,0,0.249930574840322,0.249930574840322,0.124965287420161,10.8123814570994,-27.5595671836295,1.46381008894316,99.7500694251597,7.02310585706609,0,0,0,15,coarse
15,0.5,0.0833101916134407,0.0833101916134407,0.0416550958067204,3.67239319059749,-27.6624142902607,-6.63379803510386,99.9166898083866,6.98549167114455,0.0558565603530135,0,1,15.5,coarse
15,1,0.0277700638711469,0.0277700638711469,0,-5.33046556378625,-27.8956534465121,-7.71534493357102,99.9722299361289,6.94250403009135,0.217840585376752,0,1,16,coarse
15,2,0,0,0,-7.55969989763696,-28.9176798835704,-10.5211198909017,100,6.79204728640516,0.368653298329889,1,1,17,coarse
15,3,0,0,0,-7.55969989763696,-29.1573580437992,-10.5211198909017,100,6.61472326706072,0.625593475953751,1,1,18,coarse
15,5,0,0,0,-7.55969989763696,-30.080947273392,-10.5211198909017,100,6.1902203116604,1.14505948723678,1,1,20,coarse
15,10,0,0,0,-7.55969989763696,-33.0814347566923,-10.5211198909017,100,3.57851786501985,3.788285867813,1,1,25,coarse
15,15,0,0,0,-7.55969989763696,-35.1530893210334,-10.5251345474792,100,0,7.02310585706609,1,1,30,coarse
20,0,0.249930574840322,0.249930574840322,0.124965287420161,10.8123814570994,-27.5595671836295,1.46381008894316,99.7500694251597,10.429876410532,0,0,0,20,coarse
20,0.5,0.0833101916134407,0.0833101916134407,0.0416550958067204,3.67239319059749,-27.6624142902607,-6.63379803510386,99.9166898083866,10.3922622246104,0.0558565603530135,0,1,20.5,coarse
20,1,0.0277700638711469,0.0277700638711469,0,-5.33046556378625,-27.8956534465121,-7.71534493357102,99.9722299361289,10.3492745835572,0.217840585376752,0,1,21,coarse
20,2,0,0,0,-7.55969989763696,-28.9176798835704,-10.5211198909017,100,10.198817839871,0.368653298329889,1,1,22,coarse
