Time,AggregateInterferenceDbm,IOverNDb,DominantSatelliteIndex,VisibleSatelliteCount,EligibleCandidateCount,CandidateSatelliteCount,EffectiveContributorCount,PracticalSelectedIOverNDb
01-Aug-2026 01:41:02,-163.952664652295,-35.8456777057789,0,27,27,27,9,-35.8456777057789
01-Aug-2026 01:41:04,-164.027782701785,-35.9207957552687,0,27,27,27,8,-35.9207957552687
01-Aug-2026 01:41:06,-164.853512851437,-36.7465259049215,0,28,28,28,7,-36.7465259049215
01-Aug-2026 01:41:08,-164.715308556733,-36.6083216102171,0,28,28,28,7,-36.6083216102171
01-Aug-2026 01:41:10,-164.37356981063,-36.2665828641137,0,27,27,27,8,-36.2665828641137
01-Aug-2026 01:41:12,-164.713883655979,-36.6068967094628,0,27,27,27,7,-36.6068967094628
01-Aug-2026 01:41:14,-164.941761742165,-36.8347747956492,0,28,28,28,6,-36.8347747956492
01-Aug-2026 01:41:16,-178.042711940628,-49.9357249941123,0,28,28,28,5,-49.9357249941123
01-Aug-2026 01:41:18,-178.020787198641,-49.9138002521249,0,28,28,28,6,-49.9138002521249
01-Aug-2026 01:41:20,-178.183073224223,-50.0760862777073,0,28,28,28,6,-50.0760862777073
01-Aug-2026 01:41:22,-178.555380244619,-50.448393298103,0,28,28,28,5,-50.448393298103
01-Aug-2026 01:41:24,-178.880803546955,-50.7738166004395,0,28,28,28,5,-50.7738166004395
01-Aug-2026 01:41:26,-178.768498562824,-50.6615116163083,0,27,27,27,4,-50.6615116163083
01-Aug-2026 01:41:28,-179.744476316394,-51.6374893698783,0,26,26,26,4,-31.1241476702029
01-Aug-2026 01:41:30,-179.819534045695,-51.7125470991795,0,26,26,26,4,-30.7684974434515
01-Aug-2026 01:41:32,-180.070841960819,-51.9638550143027,0,26,26,26,4,-30.1317884417367
01-Aug-2026 01:41:34,-180.346610129465,-52.2396231829496,0,26,26,26,4,-31.0547752705781
01-Aug-2026 01:41:36,-185.518989684163,-57.4120027376472,0,26,26,26,3,-30.3108552981891
01-Aug-2026 01:41:38,-186.211305908288,-58.1043189617719,0,26,26,26,3,-29.8854155614948
01-Aug-2026 01:41:40,-186.297194028166,-58.1902070816503,0,26,26,26,3,-58.1902070816503
01-Aug-2026 01:41:42,-185.910034618757,-57.8030476722407,0,27,27,27,3,-57.8030476722407
01-Aug-2026 01:41:44,-185.796485870311,-57.6894989237954,0,26,26,26,5,-57.6894989237954
01-Aug-2026 01:41:46,-185.179080369143,-57.0720934226268,0,26,26,26,4,-57.0720934226268
01-Aug-2026 01:41:48,-191.584334362671,-63.4773474161555,0,26,26,26,5,-63.4773474161555
01-Aug-2026 01:41:50,-192.168539439887,-64.061552493371,0,26,26,26,4,-64.061552493371
01-Aug-2026 01:41:52,-191.880633116431,-63.7736461699155,0,26,26,26,4,-63.7736461699155
01-Aug-2026 01:41:54,-191.926140139518,-63.8191531930024,0,26,26,26,4,-63.8191531930024
01-Aug-2026 01:41:56,-192.170788389403,-64.0638014428876,0,26,26,26,4,-64.0638014428876
